,index,pitax_2023,pitax_ref_2023,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030
0, 0-10n,0,0,0,0,0,0,0,0,0
1, 0-10z,0,0,0,0,0,0,0,0,0
2, 0-10p,0,0,0,0,0,0,0,0,0
3, 10-20,0,0,0,0,0,0,0,0,0
4, 20-30,0,0,0,0,0,0,0,0,0
5, 30-40,0,0,0,0,0,"5,007","17,568","39,400","73,891"
6, 40-50,0,0,"1,335","9,603","43,971","92,878","149,049","232,431","349,572"
7, 50-60,"52,368","52,368","82,190","135,130","262,333","428,065","593,623","784,359","995,654"
8, 60-70,"265,064","265,064","359,630","509,568","790,392","1,061,458","1,303,705","1,571,145","1,867,365"
9, 70-80,"935,825","935,825","1,109,179","1,355,192","1,779,903","2,187,240","2,551,243","2,953,106","3,398,224"
10, 80-90,"2,797,581","2,797,581","3,123,713","3,586,493","4,385,449","5,151,734","5,836,473","6,592,447","7,429,791"
11, 90-100,"20,348,767","20,348,767","22,233,003","24,928,978","29,637,304","34,210,942","38,339,121","42,936,766","48,076,563"
12, ALL,"2,440,017","2,440,017","2,690,970","3,052,576","3,690,042","4,313,868","4,879,241","5,511,161","6,219,341"
13, 90-95,"6,943,401","6,943,401","7,609,371","8,554,382","10,185,871","11,750,646","13,148,902","14,692,622","16,402,501"
14, 95-99,"18,715,950","18,715,950","20,402,076","22,850,303","27,211,815","31,539,583","35,509,943","39,993,358","45,077,558"
15, Top 1%,"93,897,917","93,897,917","102,665,077","115,105,682","136,583,416","157,182,909","175,590,256","195,912,561","218,422,271"
