,index,pitax_2023,pitax_ref_2023,pitax_ref_2024,pitax_ref_2025,pitax_ref_2026,pitax_ref_2027,pitax_ref_2028,pitax_ref_2029,pitax_ref_2030
0,<0,0,0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0,0,0
2,0-2 m,0,0,0,0,0,0,0,0,0
3,2-4 m,526,526,508,384,175,117,99,96,85
4,4-5 m,"1,207","1,207","1,349","1,312","1,201",805,324,273,288
5,5-6 m,"4,580","4,580","1,802","2,264","2,397","2,266","2,066","1,399",385
6,6-7 m,"13,757","13,757","12,358","5,246","3,122","3,322","3,120","3,198","2,880"
7,7-8 m,"12,020","12,020","14,656","15,723","5,434","3,768","3,939","4,219","4,055"
8,8-40 m,"1,534,377","1,534,377","1,523,900","1,483,132","1,354,127","1,177,629","1,016,272","836,238","804,094"
9,40-120 m,"8,223,763","8,223,763","7,229,235","6,048,170","5,276,886","5,542,431","5,714,027","5,839,189","5,641,292"
10,>120 m,"134,834,465","134,834,465","148,994,461","168,959,086","202,358,206","233,486,752","261,400,591","292,312,485","326,754,902"
11,ALL,"144,624,695","144,624,695","157,778,269","176,515,317","209,001,548","240,217,090","268,140,437","298,997,095","333,207,982"
