,weight_2022,pitax_2022,total_gross_income_2022,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
0,"1,318,792.8993",-0.0000,-0.0000,"1,318,792.8993",-0.0000,-0.0000,"1,465,178.9111",-0.0000,-0.0000,"1,561,450.7928",-0.0000,-0.0000,"1,448,034.6034",-0.0000,-0.0000,"1,448,034.6034",-0.0000,-0.0000,"1,448,034.6034",-0.0000,-0.0000,nan,nan
1,"1,319,622.8688",-0.0000,0.0000,"1,319,622.8688",-0.0000,0.0000,"1,466,101.0072",-0.0000,0.0000,"1,562,433.4766",-0.0000,0.0000,"1,448,945.9099",-0.0000,0.0000,"1,448,945.9099",-0.0000,0.0000,"1,448,945.9099",-0.0000,0.0000,nan,nan
2,"1,318,309.0305",-0.0000,0.0000,"1,318,309.0305",-0.0000,0.0000,"1,464,641.3329",-0.0000,0.0000,"1,560,877.8921",-0.0000,0.0000,"1,447,503.3155",-0.0000,0.0000,"1,447,503.3155",-0.0000,0.0000,"1,447,503.3155",-0.0000,0.0000,nan,nan
3,"1,318,991.1511",-0.0000,0.0000,"1,318,991.1511",-0.0000,0.0000,"1,465,399.1689",-0.0000,0.0000,"1,561,685.5229",-0.0000,0.0000,"1,448,252.2839",-0.0000,0.0000,"1,448,252.2839",-0.0000,0.0000,"1,448,252.2839",-0.0000,0.0000,nan,nan
4,"1,319,784.1584",-0.0000,0.0000,"1,319,784.1584",-0.0000,0.0000,"1,466,280.1999",-0.0000,0.0000,"1,562,624.4435",-0.0000,0.0000,"1,449,123.0059",-0.0000,0.0000,"1,449,123.0059",-0.0000,0.0000,"1,449,123.0059",-0.0000,0.0000,nan,nan
5,"1,320,407.4755",-0.0000,0.0000,"1,320,407.4755",-0.0000,0.0000,"1,466,972.7053",-0.0000,0.0000,"1,563,362.4510",-0.0000,0.0000,"1,449,807.4081",-0.0000,0.0000,"1,449,807.4081",-0.0000,0.0000,"1,449,807.4081",-0.0000,0.0000,nan,nan
6,"1,319,629.5892",-0.0000,0.0000,"1,319,629.5892",-0.0000,0.0000,"1,466,108.4736",-0.0000,0.0000,"1,562,441.4336",-0.0000,0.0000,"1,448,953.2889",-0.0000,0.0000,"1,448,953.2889",-0.0000,0.0000,"1,448,953.2889",-0.0000,0.0000,nan,nan
7,"1,319,243.1661",0.0000,13.0000,"1,319,243.1661",0.0000,13.0000,"1,465,679.1576",0.0000,15.0000,"1,561,983.9087",0.0000,16.0000,"1,448,528.9964",0.0000,15.0000,"1,448,528.9964",0.0000,15.0000,"1,448,528.9964",0.0000,15.0000,0.0000,0.0000
8,"1,318,752.5769",10.0000,"1,018.0000","1,318,752.5769",10.0000,"1,018.0000","1,465,134.1129",11.0000,"1,132.0000","1,561,403.0511",12.0000,"1,206.0000","1,447,990.3294",11.0000,"1,118.0000","1,447,990.3294",11.0000,"1,118.0000","1,447,990.3294",11.0000,"1,118.0000",0.0098,0.0098
9,"1,319,678.3121",23.0000,"2,566.0000","1,319,678.3121",23.0000,"2,566.0000","1,466,162.6047",26.0000,"2,851.0000","1,562,499.1215",28.0000,"3,039.0000","1,449,006.7866",26.0000,"2,818.0000","1,449,006.7866",26.0000,"2,818.0000","1,449,006.7866",26.0000,"2,818.0000",0.0090,0.0090
10,"1,319,439.7378",34.0000,"4,184.0000","1,319,439.7378",34.0000,"4,184.0000","1,465,897.5487",38.0000,"4,649.0000","1,562,216.6496",40.0000,"4,954.0000","1,448,744.8322",37.0000,"4,594.0000","1,448,744.8322",37.0000,"4,594.0000","1,448,744.8322",37.0000,"4,594.0000",0.0081,0.0081
11,"1,319,713.5942",55.0000,"5,836.0000","1,319,713.5942",55.0000,"5,836.0000","1,466,201.8031",62.0000,"6,484.0000","1,562,540.8955",66.0000,"6,910.0000","1,449,045.5264",61.0000,"6,408.0000","1,449,045.5264",61.0000,"6,408.0000","1,449,045.5264",61.0000,"6,408.0000",0.0094,0.0094
12,"1,318,550.9649",68.0000,"7,676.0000","1,318,550.9649",68.0000,"7,676.0000","1,464,910.1220",75.0000,"8,528.0000","1,561,164.3424",80.0000,"9,088.0000","1,447,768.9595",75.0000,"8,428.0000","1,447,768.9595",75.0000,"8,428.0000","1,447,768.9595",75.0000,"8,428.0000",0.0089,0.0089
13,"1,319,382.6144",93.0000,"9,526.0000","1,319,382.6144",93.0000,"9,526.0000","1,465,834.0846",103.0000,"10,584.0000","1,562,149.0155",110.0000,"11,279.0000","1,448,682.1107",102.0000,"10,460.0000","1,448,682.1107",102.0000,"10,460.0000","1,448,682.1107",102.0000,"10,460.0000",0.0098,0.0098
14,"1,320,155.4605",112.0000,"11,448.0000","1,320,155.4605",112.0000,"11,448.0000","1,466,692.7166",124.0000,"12,719.0000","1,563,064.0652",132.0000,"13,555.0000","1,449,530.6956",123.0000,"12,570.0000","1,449,530.6956",123.0000,"12,570.0000","1,449,530.6956",123.0000,"12,570.0000",0.0098,0.0098
15,"1,318,769.3779",160.0000,"13,492.0000","1,318,769.3779",160.0000,"13,492.0000","1,465,152.7789",177.0000,"14,989.0000","1,561,422.9434",189.0000,"15,974.0000","1,448,008.7769",175.0000,"14,814.0000","1,448,008.7769",175.0000,"14,814.0000","1,448,008.7769",175.0000,"14,814.0000",0.0119,0.0119
