Taxpayer_ID,Year,Sector,Sector_Code,weight,Revenues,Other_revenues,Expenses,Net_accounting_profit,Total_additions_to_GP,Other_deductions,Investment_incentive,Carried_forward_losses,Op_WDV_Comp,Op_WDV_Mach,Op_WDV_Bld,Op_WDV_Others,sch2_wdv_beg_year_class_20,Tax_depr_Intang,Add_Bld,Add_Comp,Add_Mach,Add_Others,sch2_addinit_during_yr_class_20,Excl_Comp,Excl_Mach,Excl_Others,sch2_dispsl_class_20,Loss_lag8,Loss_lag7,Loss_lag6,Loss_lag5,Loss_lag4,Loss_lag3,Loss_lag2,Loss_lag1
1,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,1762343166,0,1752343166,10000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2023,"M-Professional, scientific and technical activities",12,1,184704767,0,173095537,11609230,10752000,0,0,0,1152000,51456000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,3768330000,0,3336582000,431748000,27328000,122678000,0,0,2205877,30884522,0,0,0,0,0,6581000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2023,J-Information and communication,9,1,195722000,0,194723000,999000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2023,C-Manufacturing,2,1,24951363077,0,26672158741,-1720795664,1643404625,11805837,0,495713514,22635823,201970442,0,1975366413,0,0,0,58808256,271987607,2961518598,0,0,0,148042320,0,0,0,0,0,0,0,0,0
20,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,265982400,0,253911889,12070511,607500,0,0,1716500,1260000,2560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,301210000,0,395269978,-94059978,135334954,0,0,252074012,27210,906099671,0,98822848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2023,I-Accommodation and food service activities,8,1,1109695558,0,896321791,213373767,158923487,12000000,0,0,1087,31165507,1781332800,0,0,0,89066640,0,424786440,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2023,N-Administrative and support service activities,13,1,46224327000,0,45917195000,307132000,284556000,0,0,0,28241064,178962432,0,0,0,0,0,31295000,277198000,0,0,0,28202000,0,0,0,0,0,0,0,0,0,0
64,2023,P-Education,16,1,273680284,0,241795173,31885111,6918800,0,0,0,0,33294000,490000000,0,0,0,24500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,2023,S-Other service activities,19,1,1025482801,0,890902557,134580244,2810276,0,0,0,2748000,1958400,0,0,0,0,0,1850000,8005000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,2023,Q-Human health and social work activities,17,1,555237266,0,534019481,21217785,1616775658,0,1616775658,7313276966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,2023,"A-Agriculture, forestry and fishing",0,1,10953146001,0,10899545415,53600586,177232299,0,0,0,2035080,381157807,0,234470051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,373736400,0,379126366,-5389966,10349408,0,0,0,810000,6127040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,2023,F-Construction,5,1,300020000,0,465991317,-165971317,0,0,0,0,2100000,1440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,2023,K-Financial and insurance activities,10,1,156814894,0,156814894,0,9936400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,18041284000,0,18026653000,14631000,164048400,67362000,0,0,202000,203288000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,2023,P-Education,16,1,155521059,0,281697986,-126176927,83043967,0,0,0,58419964,61764001,0,0,0,0,0,52245000,87480000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,2023,I-Accommodation and food service activities,8,1,3588440342,0,3528054013,60386329,777650583,0,0,6636242259,13341510,1896441320,0,0,0,0,0,5384000,53499690,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,2340597357,0,2329014543,11582814,0,0,0,0,16796,570426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,2023,I-Accommodation and food service activities,8,1,1482272285,0,1371223282,111049003,177192900,0,0,649336989,0,339964500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,7962520186,0,7952329768,10190418,0,0,0,0,2132729,9662924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2023,L-Real estate activities,11,1,379653677,0,-1506554457,1886208134,2154848022,3886129535,0,0,2708638,202613962,14048945940,5347681,0,0,702447297,0,950000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,2023,"M-Professional, scientific and technical activities",12,1,281905369,0,281905369,0,18216283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,2023,C-Manufacturing,2,1,242766382,0,336813775,-94047393,48009250,0,0,0,0,496650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2023,F-Construction,5,1,2077839902,0,1656801049,421038853,5383425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,1587892822,0,1255698271,332194551,35768230,115125000,0,0,0,14188277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2023,F-Construction,5,1,2209101923,0,1652361745,556740178,187479712,0,0,0,156764,631212225,0,3119969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2023,J-Information and communication,9,1,212403040,0,210932000,1471040,1202650,0,0,4730570,2687760,491520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2023,"M-Professional, scientific and technical activities",12,1,630043458,0,625716816,4326642,77638716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2023,"M-Professional, scientific and technical activities",12,1,735738485,0,727555911,8182574,0,0,0,0,0,12753920,0,36793750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,2023,"M-Professional, scientific and technical activities",12,1,504553797,0,457520247,47033550,5758400,0,0,0,7740000,13312000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,2023,Q-Human health and social work activities,17,1,635871740,0,587651380,48220360,0,0,0,23226264,6010704,114838397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,2023,C-Manufacturing,2,1,156174610,0,154958100,1216510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,2023,"M-Professional, scientific and technical activities",12,1,152240000,0,147640000,4600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,2023,I-Accommodation and food service activities,8,1,150672000,0,144416430,6255570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,2023,J-Information and communication,9,1,554713728,0,460037675,94676053,5044955,756181,0,0,3554185,26841595,0,10632138,0,0,0,0,0,0,0,0,9243819,0,0,0,0,0,0,0,0,0,0
176,2023,J-Information and communication,9,1,266748752,0,263519287,3229465,3040956,0,0,0,6300000,1400000,0,0,0,0,0,1600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,2023,J-Information and communication,9,1,348534933,0,343626187,4908746,0,0,0,0,214169.44,55949567.42,0,0,0,0,0,0,0,0,0,214169.44,0,0,0,0,0,0,0,0,0,0,0
179,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,2314080331,0,2271120273,42960058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,2023,"M-Professional, scientific and technical activities",12,1,411662115,0,411662115,0,24327794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,458525600,0,444952139,13573461,1240339,0,0,0,355528,1490944,0,0,0,0,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,356448686,0,250128482,106320204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,544417590,0,483839216,60578374,513264,0,0,0,26706,469762,0,0,0,0,0,2750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,2023,F-Construction,5,1,1676243715,0,1460817649,215426066,753085,872166,0,16772651,0,0,0,0,0,0,0,6525424,6902999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,2023,C-Manufacturing,2,1,830900596,0,1155364852,-324464256,83994438,0,0,0,101127,106019976,0,9894091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,295938400,0,289449170,6489230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,2023,"R-Arts, entertainment and recreation",18,1,169700000,0,170249579,-549579,1878679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,2532025000,0,2609586000,-77561000,190216000,0,0,0,0,7872756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,9008978000,0,8943191432,65786568,42215903,0,0,0,7819200,162448045,0,0,0,0,0,0,1645000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,2023,P-Education,16,1,502904134,0,459595790,43308344,10714000,0,0,0,0,29856000,52000000,0,0,0,2600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,2023,K-Financial and insurance activities,10,1,3567733000,0,3551742312,15990688,4134818,0,0,81737546,7339475,8669542,0,0,0,0,0,10380000,18638019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,2023,"M-Professional, scientific and technical activities",12,1,173841927,0,243658147,-69816220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,401157411,0,400636560,520851,8654600,0,0,0,6400000,30473000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,341167663,0,328171870,12995793,4960000,0,0,0,18700000,6100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,1435803492,0,1406081023,29722469,8236768,0,0,0,2528250,15510272,0,0,0,0,0,5178900,16000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,832592544,0,781258251,51334293,1820976,0,0,0,0,251659,0,0,0,0,0,0,7500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,2023,F-Construction,5,1,164086000,0,133331000,30755000,4625000,0,0,0,94200,13924800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,572332000,0,569280786,3051214,5356118,0,0,2900008,41007,20837303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,241477000,0,236989000,4488000,4775000,0,0,7558366,246240,20339746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,213656530,0,212452627,1203903,290000,0,0,0,0,0,0,0,0,0,0,0,1450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
260,2023,G-Wholesale and retail trade; repair of motor vehicles and motorcycles,6,1,1.04E+11,0,1.04E+11,190729992,2913932,0,0,0,93312,393216,0,6728313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,2023,"M-Professional, scientific and technical activities",12,1,183601682,0,179033572,4568110,5315622,0,0,89622839,311040,16394240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
