Year,CPI,wage_inc,gross_wage,total_gross_income,income_wages_t,income_donations_t,exempt_total_income,income_rent_t,income_dividends_t,income_interest_t,income_other_t,income_capitalgains_t,deductible_expenses
2022,1.0718,1.01,1,1,1.141,1.237302772,1.237302772,1.237302772,1.237302772,1.237302772,1.237302772,1.237302772,1.237302772
2023,1.0396,1.044,1,1.111,1.108,1.133190877,1.133190877,1.133190877,1.133190877,1.133190877,1.133190877,1.133190877,1.133190877
2024,1.0329,1.039,1,1.184,1.093,0.83270071,0.83270071,0.83270071,0.83270071,0.83270071,0.83270071,0.83270071,0.83270071
2025,1.036,1.076,1,1.098,1.114,1.067731453,1.067731453,1.067731453,1.067731453,1.067731453,1.067731453,1.067731453,1.067731453
2026,1.036,1.04225,1,1,1,1,1,1,1,1,1,1,1
2027,1.036,1.04225,1,1,1,1,1,1,1,1,1,1,1
2028,1.036,1.04225,1,1,1,1,1,1,1,1,1,1,1
2029,1.036,1.04225,1,1,1,1,1,1,1,1,1,1,1
2030,1.036,1.04225,1,1,1,1,1,1,1,1,1,1,1
2031,1.036,1.04225,1,1,1,1,1,1,1,1,1,1,1
2032,1.036,1.04225,1,1,1,1,1,1,1,1,1,1,1
