Year,CPI,SALARY,CONS_Total,CONS_Food,CONS_Non_Food,CONS_Other,CONS_Food,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous
2015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2016,1,1,1.197400678,1.197400678,1.197400678,1.197400678,1.197400678,1.197400678,1.197400678,1.197400678,1.197400678,1.197400678,1.197400678,1.197400678,1.197400678,1.197400678,1.197400678,1.197400678
2017,1,1,1.170662532,1.170662532,1.170662532,1.170662532,1.170662532,1.170662532,1.170662532,1.170662532,1.170662532,1.170662532,1.170662532,1.170662532,1.170662532,1.170662532,1.170662532,1.170662532
2018,1,1,0.948271428,0.948271428,0.948271428,0.948271428,0.948271428,0.948271428,0.948271428,0.948271428,0.948271428,0.948271428,0.948271428,0.948271428,0.948271428,0.948271428,0.948271428,0.948271428
2019,1,1,1.094275912,1.094275912,1.094275912,1.094275912,1.094275912,1.094275912,1.094275912,1.094275912,1.094275912,1.094275912,1.094275912,1.094275912,1.094275912,1.094275912,1.094275912,1.094275912
2020,1,1,0.967132217,0.967132217,0.967132217,0.967132217,0.967132217,0.967132217,0.967132217,0.967132217,0.967132217,0.967132217,0.967132217,0.967132217,0.967132217,0.967132217,0.967132217,0.967132217
2021,1,1,1.403168599,1.403168599,1.403168599,1.403168599,1.403168599,1.403168599,1.403168599,1.403168599,1.403168599,1.403168599,1.403168599,1.403168599,1.403168599,1.403168599,1.403168599,1.403168599
2022,1,1,0.85585602,0.85585602,0.85585602,0.85585602,0.85585602,0.85585602,0.85585602,0.85585602,0.85585602,0.85585602,0.85585602,0.85585602,0.85585602,0.85585602,0.85585602,0.85585602
2023,1,1,1.080452411,1.080452411,1.080452411,1.080452411,1.080452411,1.080452411,1.080452411,1.080452411,1.080452411,1.080452411,1.080452411,1.080452411,1.080452411,1.080452411,1.080452411,1.080452411
2024,1,1,1.113941991,1.113941991,1.113941991,1.113941991,1.113941991,1.113941991,1.113941991,1.113941991,1.113941991,1.113941991,1.113941991,1.113941991,1.113941991,1.113941991,1.113941991,1.113941991
2025,1,1,1.069032741,1.069032741,1.069032741,1.069032741,1.069032741,1.069032741,1.069032741,1.069032741,1.069032741,1.069032741,1.069032741,1.069032741,1.069032741,1.069032741,1.069032741,1.069032741
2026,1,1,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234
2027,1,1,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234
2028,1,1,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234,1.070791234
2029,1,1,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398
2030,1,1,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398,1.071377398
