id_n,weight,Year,GROSS_INCOME,CONS_Food,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other,'CONS_Food
31101,121.69,2015,10473.3603516,431.16,1628.0207999999998,999.99999996,0.0,0.0,0.0,0.0,480.0,0.0,388.99999812,0.0,0.0,3928.1807980799995,3497.0207980799996,5173.92
21909,95.66,2015,49739.27929199999,308.06,0.0,12200.000004,3386.7427284,16938.999996,24.0,43019.999988,15360.0,1200.0,3492.0000456,0.0,5127.9999996,101057.8027616,100749.7427616,3696.7200000000003
28009,63.75,2015,28573.713863999998,312.33,0.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,0.0,0.0,0.0,792.3299999999999,480.0,3747.96
48215,80.57,2015,12181.267092,517.8,4961.5872,35921.000004,14640.0,362.00000004000003,14292.0,14208.0,14736.0,1800.0,0.0,0.0,54957.999996,156396.38720004,155878.58720004,6213.599999999999
6209,110.38,2015,677083.35936,356.53,0.0,5000.0000004,21600.0,0.0,65.000000004,49200.0,27744.0,8400.0,20200.000488,19340.399784,22800.0,174705.93027240402,174349.40027240402,4278.36
14104,136.88,2015,11994.58374,441.1103536,1938.12,19200.0,6000.0,840.0,0.0,480.0,960.0,0.0,1350.999996,168.0,9864.0,41242.230349599995,40801.119995999994,5293.3242432
14902,103.82,2015,17033.159184,361.46,0.0,750.0,1080.0,0.0,408.0,4272.0,1032.0,0.0,0.0,72.0,816.0,8791.46,8430.0,4337.5199999999995
56111,66.09,2015,25527.536136000002,415.4649491,0.0,0.0,600.0,1632.0,6012.0,0.0,0.0,0.0,460.00000476,1392.0,0.0,10511.46495386,10096.00000476,4985.5793892
53914,48.92,2015,19023.181644,415.17,2849.988,299.00000004000003,0.0,504.0,0.0,0.0,0.0,0.0,0.0,622.80001836,1052.4,5743.3580184,5328.1880184,4982.04
27403,69.52,2015,21772.590816,356.0,2984.7048,1760.0000004,240.0,72.0,67.19999886,0.0,0.0,0.0,959.99997708,0.0,1906.8000000000002,8346.70477634,7990.70477634,4272.0
