id_n,weight,Year,GROSS_INCOME,CONS_Food,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other
31101,121.69,2015,872.7800293,431.16,135.6684,83.33333333,0,0,0,0,40,0,32.41666651,0,0,722.5783998,291.4183998
21909,95.66,2015,4144.939941,308.06,0,1016.666667,282.2285607,1411.583333,2,3584.999999,1280,100,291.0000038,0,427.3333333,8703.871897,8395.811897
28009,63.75,2015,2381.142822,312.33,0,0,0,0,0,40,0,0,0,0,0,352.33,40
48215,80.57,2015,1015.105591,517.8,413.4656,2993.416667,1220,30.16666667,1191,1184,1228,150,0,0,4579.833333,13507.68227,12989.88227
6209,110.38,2015,56423.61328,356.53,0,416.6666667,1800,0,5.416666667,4100,2312,700,1683.333374,1611.699982,1900,14885.64669,14529.11669
14104,136.88,2015,999.548645,441.1103536,161.51,1600,500,70,0,40,80,0,112.583333,14,822,3841.203687,3400.093333
14902,103.82,2015,1419.429932,361.46,0,62.5,90,0,34,356,86,0,0,6,68,1063.96,702.5
56111,66.09,2015,2127.294678,415.4649491,0,0,50,136,501,0,0,0,38.33333373,116,0,1256.798283,841.3333337
53914,48.92,2015,1585.265137,415.17,237.499,24.91666667,0,42,0,0,0,0,0,51.90000153,87.7,859.1856682,444.0156682
27403,69.52,2015,1814.382568,356,248.7254,146.6666667,20,6,5.599999905,0,0,0,79.99999809,0,158.9,1021.892065,665.8920647
16706,96.91,2015,0,361.46,0,0,0,0,17,0,0,0,0,0,0,378.46,17
31806,73.98,2015,467,431.16,0,0,500,60,0,80,0,0,19.16666603,0,0,1090.326666,659.166666
41109,21.34,2015,9545.939453,653.66,0,558.3333333,33.33333206,368.5,1019.166667,0,240,0,265.8333282,0,320.8,3459.626661,2805.966661
18101,94.98,2015,47.66666794,361.46,0,266.6666667,565,0,0,28,640,0,0,0,478,2339.126667,1977.666667
37206,79.41,2015,2325.691895,393.7124367,0,127.5,814.6218068,0,2.5,696,40,66.66666667,21.66666603,10,300,2472.667576,2078.95514
44805,82.23,2015,2144.522217,496.34,962.72899,191.6666667,40,4.166666667,83.33333333,152,90,0,0,103.9000015,0,2124.135658,1627.795658
6311,79.24,2015,2045.113403,776.3251148,0,176.6666667,273,0,150,1222.916666,200,0,625,850,0,4273.908448,3497.583333
55403,47.9,2015,290.1119995,415.17,0,0,0,0,0,0,0,0,0,0,0,415.17,0
46007,102.32,2015,4218.799805,409.16,0,0,657.3109034,0,181.6666667,280,150,0,0,0,480,2158.13757,1748.97757
