,index,vatax_2015,vatax_2016,vatax_2017,vatax_2018,vatax_2019,vatax_2020,vatax_2021,vatax_2022,vatax_2023,vatax_2024,vatax_ref_2024,vatax_ref_2025,vatax_ref_2026,vatax_ref_2027,vatax_ref_2028,vatax_ref_2029,vatax_ref_2030
0,<0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,=0,95,114,133,126,138,134,187,160,173,193,191,204,218,234,250,268,288
2,0-10k,446,534,625,593,649,628,881,754,814,907,883,944,"1,011","1,083","1,159","1,242","1,331"
3,10k-25k,599,717,839,796,871,842,"1,182","1,011","1,093","1,217","1,184","1,265","1,355","1,451","1,553","1,664","1,783"
4,25k-50k,857,"1,026","1,201","1,139","1,246","1,206","1,692","1,448","1,564","1,742","1,713","1,832","1,961","2,100","2,249","2,409","2,581"
5,50k-75k,420,503,589,558,611,591,829,710,767,854,841,899,963,"1,031","1,104","1,183","1,267"
6,75k-100k,323,387,453,430,470,455,638,546,590,658,651,696,745,798,854,915,980
7,100k-200k,"1,105","1,323","1,549","1,469","1,607","1,554","2,181","1,867","2,017","2,247","2,232","2,386","2,555","2,736","2,929","3,138","3,362"
8,200k-500k,"1,233","1,477","1,729","1,640","1,794","1,735","2,435","2,084","2,251","2,508","2,498","2,671","2,860","3,062","3,279","3,513","3,764"
9,500k-1m,342,409,479,454,497,481,674,577,624,695,693,740,793,849,909,974,"1,043"
10,>1m,128,153,179,170,186,180,252,216,233,260,259,277,296,317,340,364,390
11,ALL,"5,548","6,643","7,777","7,375","8,070","7,805","10,951","9,373","10,127","11,280","11,144","11,913","12,757","13,660","14,627","15,671","16,790"
