      weight_2015  vatax_2015 GROSS_INCOME_2015   weight_2016  vatax_2016 GROSS_INCOME_2016   weight_2017  vatax_2017 GROSS_INCOME_2017   weight_2018  vatax_2018 GROSS_INCOME_2018   weight_2019  vatax_2019 GROSS_INCOME_2019   weight_2020  vatax_2020 GROSS_INCOME_2020   weight_2021   vatax_2021 GROSS_INCOME_2021   weight_2022  vatax_2022 GROSS_INCOME_2022   weight_2023   vatax_2023 GROSS_INCOME_2023   weight_2024   vatax_2024 GROSS_INCOME_2024 weight_ref_2024 vatax_ref_2024 GROSS_INCOME_ref_2024 weight_ref_2025 vatax_ref_2025 GROSS_INCOME_ref_2025 weight_ref_2026 vatax_ref_2026 GROSS_INCOME_ref_2026 weight_ref_2027 vatax_ref_2027 GROSS_INCOME_ref_2027 weight_ref_2028 vatax_ref_2028 GROSS_INCOME_ref_2028 weight_ref_2029 vatax_ref_2029 GROSS_INCOME_ref_2029 weight_ref_2030 vatax_ref_2030 GROSS_INCOME_ref_2030      ETR  ETR_ref
0      9,484.2934     54.0000            0.0000    9,484.2934     65.0000            0.0000    9,484.2934     76.0000            0.0000    9,484.2934     72.0000            0.0000    9,484.2934     79.0000            0.0000    9,484.2934     77.0000            0.0000    9,484.2934     108.0000            0.0000    9,484.2934     92.0000            0.0000    9,484.2934      99.0000            0.0000    9,484.2934     111.0000            0.0000      9,484.2934       110.0000                0.0000      9,484.2934       117.0000                0.0000      9,484.2934       126.0000                0.0000      9,484.2934       134.0000                0.0000      9,484.2934       144.0000                0.0000      9,484.2934       154.0000                0.0000      9,484.2934       165.0000                0.0000      inf      inf
1      9,486.4445     35.0000            0.0000    9,486.4445     42.0000            0.0000    9,486.4445     50.0000            0.0000    9,486.4445     47.0000            0.0000    9,486.4445     52.0000            0.0000    9,486.4445     50.0000            0.0000    9,486.4445      70.0000            0.0000    9,486.4445     60.0000            0.0000    9,486.4445      65.0000            0.0000    9,486.4445      72.0000            0.0000      9,486.4445        71.0000                0.0000      9,486.4445        76.0000                0.0000      9,486.4445        81.0000                0.0000      9,486.4445        87.0000                0.0000      9,486.4445        93.0000                0.0000      9,486.4445       100.0000                0.0000      9,486.4445       107.0000                0.0000      inf      inf
2      9,645.3355     27.0000            1.0000    9,645.3355     32.0000            1.0000    9,645.3355     38.0000            1.0000    9,645.3355     36.0000            1.0000    9,645.3355     39.0000            1.0000    9,645.3355     38.0000            1.0000    9,645.3355      53.0000            1.0000    9,645.3355     46.0000            1.0000    9,645.3355      49.0000            1.0000    9,645.3355      55.0000            1.0000      9,645.3355        54.0000                1.0000      9,645.3355        58.0000                1.0000      9,645.3355        62.0000                1.0000      9,645.3355        66.0000                1.0000      9,645.3355        71.0000                1.0000      9,645.3355        76.0000                1.0000      9,645.3355        81.0000                1.0000  55.0000  54.0000
3      9,514.8780     27.0000            5.0000    9,514.8780     33.0000            5.0000    9,514.8780     38.0000            5.0000    9,514.8780     37.0000            5.0000    9,514.8780     40.0000            5.0000    9,514.8780     39.0000            5.0000    9,514.8780      54.0000            5.0000    9,514.8780     46.0000            5.0000    9,514.8780      50.0000            5.0000    9,514.8780      56.0000            5.0000      9,514.8780        55.0000                5.0000      9,514.8780        58.0000                5.0000      9,514.8780        63.0000                5.0000      9,514.8780        67.0000                5.0000      9,514.8780        72.0000                5.0000      9,514.8780        77.0000                5.0000      9,514.8780        82.0000                5.0000  11.2000  11.0000
4      9,486.6224     25.0000            9.0000    9,486.6224     29.0000            9.0000    9,486.6224     34.0000            9.0000    9,486.6224     33.0000            9.0000    9,486.6224     36.0000            9.0000    9,486.6224     35.0000            9.0000    9,486.6224      48.0000            9.0000    9,486.6224     41.0000            9.0000    9,486.6224      45.0000            9.0000    9,486.6224      50.0000            9.0000      9,486.6224        49.0000                9.0000      9,486.6224        52.0000                9.0000      9,486.6224        56.0000                9.0000      9,486.6224        60.0000                9.0000      9,486.6224        64.0000                9.0000      9,486.6224        69.0000                9.0000      9,486.6224        74.0000                9.0000   5.5556   5.4444
5      9,620.8808     53.0000           13.0000    9,620.8808     63.0000           13.0000    9,620.8808     74.0000           13.0000    9,620.8808     70.0000           13.0000    9,620.8808     77.0000           13.0000    9,620.8808     74.0000           13.0000    9,620.8808     104.0000           13.0000    9,620.8808     89.0000           13.0000    9,620.8808      96.0000           13.0000    9,620.8808     107.0000           13.0000      9,620.8808       106.0000               13.0000      9,620.8808       113.0000               13.0000      9,620.8808       121.0000               13.0000      9,620.8808       130.0000               13.0000      9,620.8808       139.0000               13.0000      9,620.8808       149.0000               13.0000      9,620.8808       159.0000               13.0000   8.2308   8.1538
6      9,467.3595     30.0000           15.0000    9,467.3595     36.0000           15.0000    9,467.3595     42.0000           15.0000    9,467.3595     40.0000           15.0000    9,467.3595     44.0000           15.0000    9,467.3595     42.0000           15.0000    9,467.3595      59.0000           15.0000    9,467.3595     51.0000           15.0000    9,467.3595      55.0000           15.0000    9,467.3595      61.0000           15.0000      9,467.3595        60.0000               15.0000      9,467.3595        64.0000               15.0000      9,467.3595        68.0000               15.0000      9,467.3595        73.0000               15.0000      9,467.3595        78.0000               15.0000      9,467.3595        84.0000               15.0000      9,467.3595        90.0000               15.0000   4.0667   4.0000
7      9,549.2634     19.0000           20.0000    9,549.2634     23.0000           20.0000    9,549.2634     27.0000           20.0000    9,549.2634     25.0000           20.0000    9,549.2634     28.0000           20.0000    9,549.2634     27.0000           20.0000    9,549.2634      38.0000           20.0000    9,549.2634     32.0000           20.0000    9,549.2634      35.0000           20.0000    9,549.2634      39.0000           20.0000      9,549.2634        38.0000               20.0000      9,549.2634        40.0000               20.0000      9,549.2634        43.0000               20.0000      9,549.2634        46.0000               20.0000      9,549.2634        49.0000               20.0000      9,549.2634        53.0000               20.0000      9,549.2634        57.0000               20.0000   1.9500   1.9000
8      9,589.9081     34.0000           25.0000    9,589.9081     40.0000           25.0000    9,589.9081     47.0000           25.0000    9,589.9081     45.0000           25.0000    9,589.9081     49.0000           25.0000    9,589.9081     47.0000           25.0000    9,589.9081      66.0000           25.0000    9,589.9081     57.0000           25.0000    9,589.9081      61.0000           25.0000    9,589.9081      68.0000           25.0000      9,589.9081        67.0000               25.0000      9,589.9081        72.0000               25.0000      9,589.9081        77.0000               25.0000      9,589.9081        82.0000               25.0000      9,589.9081        88.0000               25.0000      9,589.9081        94.0000               25.0000      9,589.9081       101.0000               25.0000   2.7200   2.6800
9      9,525.7144     26.0000           30.0000    9,525.7144     31.0000           30.0000    9,525.7144     37.0000           30.0000    9,525.7144     35.0000           30.0000    9,525.7144     38.0000           30.0000    9,525.7144     37.0000           30.0000    9,525.7144      52.0000           30.0000    9,525.7144     44.0000           30.0000    9,525.7144      48.0000           30.0000    9,525.7144      53.0000           30.0000      9,525.7144        52.0000               30.0000      9,525.7144        56.0000               30.0000      9,525.7144        60.0000               30.0000      9,525.7144        64.0000               30.0000      9,525.7144        69.0000               30.0000      9,525.7144        73.0000               30.0000      9,525.7144        79.0000               30.0000   1.7667   1.7333
