      weight_2015  vatax_2015 GROSS_INCOME_2015   weight_2016  vatax_2016 GROSS_INCOME_2016   weight_2017  vatax_2017 GROSS_INCOME_2017   weight_2018  vatax_2018 GROSS_INCOME_2018   weight_2019  vatax_2019 GROSS_INCOME_2019   weight_2020  vatax_2020 GROSS_INCOME_2020   weight_2021  vatax_2021 GROSS_INCOME_2021   weight_2022  vatax_2022 GROSS_INCOME_2022   weight_2023  vatax_2023 GROSS_INCOME_2023   weight_2024   vatax_2024 GROSS_INCOME_2024 weight_ref_2024 vatax_ref_2024 GROSS_INCOME_ref_2024 weight_ref_2025 vatax_ref_2025 GROSS_INCOME_ref_2025 weight_ref_2026 vatax_ref_2026 GROSS_INCOME_ref_2026 weight_ref_2027 vatax_ref_2027 GROSS_INCOME_ref_2027 weight_ref_2028 vatax_ref_2028 GROSS_INCOME_ref_2028 weight_ref_2029 vatax_ref_2029 GROSS_INCOME_ref_2029 weight_ref_2030 vatax_ref_2030 GROSS_INCOME_ref_2030      ETR  ETR_ref
0      9,484.2934     51.0000            0.0000    9,484.2934     61.0000            0.0000    9,484.2934     71.0000            0.0000    9,484.2934     67.0000            0.0000    9,484.2934     74.0000            0.0000    9,484.2934     71.0000            0.0000    9,484.2934    100.0000            0.0000    9,484.2934     86.0000            0.0000    9,484.2934     92.0000            0.0000    9,484.2934     103.0000            0.0000      9,484.2934       103.0000                0.0000      9,484.2934       110.0000                0.0000      9,484.2934       118.0000                0.0000      9,484.2934       126.0000                0.0000      9,484.2934       135.0000                0.0000      9,484.2934       145.0000                0.0000      9,484.2934       155.0000                0.0000      inf      inf
1      9,486.4445     31.0000            0.0000    9,486.4445     37.0000            0.0000    9,486.4445     44.0000            0.0000    9,486.4445     41.0000            0.0000    9,486.4445     45.0000            0.0000    9,486.4445     44.0000            0.0000    9,486.4445     61.0000            0.0000    9,486.4445     52.0000            0.0000    9,486.4445     57.0000            0.0000    9,486.4445      63.0000            0.0000      9,486.4445        63.0000                0.0000      9,486.4445        67.0000                0.0000      9,486.4445        72.0000                0.0000      9,486.4445        77.0000                0.0000      9,486.4445        83.0000                0.0000      9,486.4445        89.0000                0.0000      9,486.4445        95.0000                0.0000      inf      inf
2      9,645.3355     26.0000            1.0000    9,645.3355     31.0000            1.0000    9,645.3355     36.0000            1.0000    9,645.3355     34.0000            1.0000    9,645.3355     38.0000            1.0000    9,645.3355     36.0000            1.0000    9,645.3355     51.0000            1.0000    9,645.3355     44.0000            1.0000    9,645.3355     47.0000            1.0000    9,645.3355      53.0000            1.0000      9,645.3355        53.0000                1.0000      9,645.3355        56.0000                1.0000      9,645.3355        60.0000                1.0000      9,645.3355        64.0000                1.0000      9,645.3355        69.0000                1.0000      9,645.3355        74.0000                1.0000      9,645.3355        79.0000                1.0000  53.0000  53.0000
3      9,514.8780     25.0000            5.0000    9,514.8780     30.0000            5.0000    9,514.8780     35.0000            5.0000    9,514.8780     33.0000            5.0000    9,514.8780     37.0000            5.0000    9,514.8780     35.0000            5.0000    9,514.8780     50.0000            5.0000    9,514.8780     43.0000            5.0000    9,514.8780     46.0000            5.0000    9,514.8780      51.0000            5.0000      9,514.8780        51.0000                5.0000      9,514.8780        55.0000                5.0000      9,514.8780        59.0000                5.0000      9,514.8780        63.0000                5.0000      9,514.8780        67.0000                5.0000      9,514.8780        72.0000                5.0000      9,514.8780        77.0000                5.0000  10.2000  10.2000
4      9,486.6224     22.0000            9.0000    9,486.6224     26.0000            9.0000    9,486.6224     31.0000            9.0000    9,486.6224     29.0000            9.0000    9,486.6224     32.0000            9.0000    9,486.6224     31.0000            9.0000    9,486.6224     44.0000            9.0000    9,486.6224     37.0000            9.0000    9,486.6224     40.0000            9.0000    9,486.6224      45.0000            9.0000      9,486.6224        45.0000                9.0000      9,486.6224        48.0000                9.0000      9,486.6224        52.0000                9.0000      9,486.6224        55.0000                9.0000      9,486.6224        59.0000                9.0000      9,486.6224        63.0000                9.0000      9,486.6224        68.0000                9.0000   5.0000   5.0000
5      9,620.8808     39.0000           13.0000    9,620.8808     47.0000           13.0000    9,620.8808     55.0000           13.0000    9,620.8808     52.0000           13.0000    9,620.8808     57.0000           13.0000    9,620.8808     55.0000           13.0000    9,620.8808     78.0000           13.0000    9,620.8808     67.0000           13.0000    9,620.8808     72.0000           13.0000    9,620.8808      80.0000           13.0000      9,620.8808        80.0000               13.0000      9,620.8808        86.0000               13.0000      9,620.8808        92.0000               13.0000      9,620.8808        98.0000               13.0000      9,620.8808       105.0000               13.0000      9,620.8808       113.0000               13.0000      9,620.8808       121.0000               13.0000   6.1538   6.1538
6      9,467.3595     23.0000           15.0000    9,467.3595     27.0000           15.0000    9,467.3595     32.0000           15.0000    9,467.3595     30.0000           15.0000    9,467.3595     33.0000           15.0000    9,467.3595     32.0000           15.0000    9,467.3595     45.0000           15.0000    9,467.3595     39.0000           15.0000    9,467.3595     42.0000           15.0000    9,467.3595      46.0000           15.0000      9,467.3595        46.0000               15.0000      9,467.3595        50.0000               15.0000      9,467.3595        53.0000               15.0000      9,467.3595        57.0000               15.0000      9,467.3595        61.0000               15.0000      9,467.3595        65.0000               15.0000      9,467.3595        70.0000               15.0000   3.0667   3.0667
7      9,549.2634     17.0000           20.0000    9,549.2634     20.0000           20.0000    9,549.2634     24.0000           20.0000    9,549.2634     22.0000           20.0000    9,549.2634     24.0000           20.0000    9,549.2634     24.0000           20.0000    9,549.2634     33.0000           20.0000    9,549.2634     28.0000           20.0000    9,549.2634     31.0000           20.0000    9,549.2634      34.0000           20.0000      9,549.2634        34.0000               20.0000      9,549.2634        37.0000               20.0000      9,549.2634        39.0000               20.0000      9,549.2634        42.0000               20.0000      9,549.2634        45.0000               20.0000      9,549.2634        48.0000               20.0000      9,549.2634        52.0000               20.0000   1.7000   1.7000
8      9,589.9081     25.0000           25.0000    9,589.9081     30.0000           25.0000    9,589.9081     36.0000           25.0000    9,589.9081     34.0000           25.0000    9,589.9081     37.0000           25.0000    9,589.9081     36.0000           25.0000    9,589.9081     50.0000           25.0000    9,589.9081     43.0000           25.0000    9,589.9081     46.0000           25.0000    9,589.9081      52.0000           25.0000      9,589.9081        52.0000               25.0000      9,589.9081        55.0000               25.0000      9,589.9081        59.0000               25.0000      9,589.9081        63.0000               25.0000      9,589.9081        68.0000               25.0000      9,589.9081        73.0000               25.0000      9,589.9081        78.0000               25.0000   2.0800   2.0800
9      9,525.7144     24.0000           30.0000    9,525.7144     29.0000           30.0000    9,525.7144     33.0000           30.0000    9,525.7144     32.0000           30.0000    9,525.7144     35.0000           30.0000    9,525.7144     34.0000           30.0000    9,525.7144     47.0000           30.0000    9,525.7144     40.0000           30.0000    9,525.7144     44.0000           30.0000    9,525.7144      48.0000           30.0000      9,525.7144        48.0000               30.0000      9,525.7144        52.0000               30.0000      9,525.7144        55.0000               30.0000      9,525.7144        59.0000               30.0000      9,525.7144        64.0000               30.0000      9,525.7144        68.0000               30.0000      9,525.7144        73.0000               30.0000   1.6000   1.6000
